amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
,,No,Yes,No,Yes,No,No,No,Yard;;,550,1,1 Year,2,1,Basement,$1900,Halifax; NS B3N,Laundry (In Unit),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,Yes,No,;Balcony;,1;050,1,Not Available,2,2,Apartment,$2900,5633 Fenwick Street; Halifax; NS; B3H 4M2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,Yes,No,;Balcony;,800,1,Not Available,2,1,Apartment,$2600,5633 Fenwick Street; Halifax; NS; B3H 4M2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,Yes,No,;Balcony;,500,1,Not Available,Bachelor/Studio,1,Apartment,$1995,5633 Fenwick Street; Halifax; NS; B3H 4M2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,Yes,No,;Balcony;,800,1,Not Available,1,1,Apartment,$2450,5633 Fenwick Street; Halifax; NS; B3H 4M2,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,,583,1,Not Available,1,1,Apartment,$1995,1585 Oxford Street; Halifax; NS; B3H 3Z3,,Dishwasher,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,,475,1,Not Available,1,1,Apartment,$1850,1545 Oxford Street; Halifax; NS; B3H 3Z3,,,Fridge / Freezer
,,No,,,,Yes,Yes,No,,1,1,Not Available,2,1,Basement,$2250,29 McIntosh Street; Halifax; NS; B3R 1G9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,300,0,Month-to-month,2,1,Apartment,Please Contact,141 Harlington Crescent; Halifax; NS B3M 3M9,,,
